[224, 241, 290, 594, 515, 660, 853, 727, 378, 431]
[497, 947, 180, 500, 69, 791, 616, 873, 126, 703]
[320, 645, 263, 103, 120, 682, 523, 11, 301, 286]
[147, 148, 629, 983, 583, 10, 446, 590, 878, 479]
[432, 225, 849, 337, 898, 356, 981, 648, 938, 318]
[416, 448, 896, 608, 256, 849, 785, 370, 924, 718]
[896, 752, 320, 401, 867, 564, 853, 571, 973, 175]
[498, 467, 804, 68, 357, 600, 248, 825, 108, 975]
[608, 197, 582, 999, 330, 42, 395, 204, 94, 638]
[401, 482, 20, 407, 649, 730, 27, 108, 13, 559]
[656, 848, 242, 467, 836, 740, 968, 361, 186, 173]
[832, 482, 707, 419, 468, 373, 102, 951, 744, 57]
[592, 228, 456, 585, 954, 410, 379, 46, 750, 782]
[371, 787, 676, 710, 471, 423, 745, 185, 13, 318]
[433, 834, 290, 247, 633, 217, 875, 459, 813, 94]
[273, 322, 85, 390, 856, 249, 58, 956, 477, 911]
[418, 627, 52, 740, 534, 214, 294, 634, 509, 846]
[992, 80, 529, 659, 23, 634, 443, 220, 157, 831]
[480, 946, 115, 244, 84, 903, 807, 73, 734, 655]
[448, 212, 902, 182, 343, 840, 760, 584, 74, 972]
[320, 179, 899, 900, 437, 104, 331, 588, 476, 719]
[513, 273, 517, 165, 327, 119, 442, 219, 523, 301]
[112, 416, 336, 96, 818, 772, 520, 346, 62, 815]
[688, 882, 259, 342, 87, 855, 519, 90, 363, 607]
[256, 385, 358, 328, 25, 618, 333, 334, 143, 639]
[832, 33, 929, 338, 978, 598, 971, 781, 606, 462]
[352, 913, 582, 406, 889, 473, 572, 989, 61, 607]
[913, 98, 354, 420, 581, 151, 635, 124, 125, 317]
[802, 228, 374, 423, 183, 1000, 300, 556, 621, 719]
[32, 865, 386, 147, 325, 699, 188, 764, 285, 719]
[673, 978, 419, 883, 135, 185, 841, 26, 139, 927]
[528, 16, 290, 68, 885, 181, 920, 924, 972, 270]
[144, 962, 262, 806, 73, 458, 282, 891, 603, 11]
[450, 67, 195, 707, 580, 694, 536, 296, 345, 43]
[289, 370, 162, 22, 246, 568, 584, 409, 282, 303]
